A64-D936;-1.29;43.47
AAST;-0.09;43.29
ABIDOS;-0.62;43.4
ACCOUS;-0.59;42.98
ADE;-0.03;43.14
AGOS-VIDALOS;-0.07;43.03
AHETZE;-1.57;43.4
AINHOA;-1.5;43.3
ALCAY;-0.9;43.1
ALDUDES;-1.43;43.1
AMENDEUIX;-1.03;43.35
ANDOINS;-0.23;43.3
ANDREIN;-0.9;43.39
ANDREST;0.07;43.32
ANGAIS;-0.25;43.24
ANOYE;-0.14;43.4
ARAMITS;-0.72;43.12
ARBEOST;-0.28;43
ARBUS;-0.5;43.33
ARCANGUES;-1.52;43.43
ARCIZAC-ADOUR;0.1;43.16
ARCIZACQ-EZ-ANGLES;0.02;43.09
ARETTE;-0.72;43.1
ARGAGNON;-0.68;43.45
ARGELES-GAZOST;-0.1;43
ARMENDARITS;-1.17;43.3
ARNEGUY;-1.28;43.12
ARRAS-EN-LAVEDAN;-0.13;42.99
ARRAUTE-CHARITTE;-1.1;43.4
ARRENS;-0.22;42.95
ARRIEN;-0.15;43.32
ARROS-DE-NAY;-0.28;43.2
ARTHEZ-D'ASSON;-0.25;43.08
ARTHEZ-DE-BEARN;-0.62;43.46
ARTIGUELOUTAN;-0.24;43.28
ARTIGUELOUVE;-0.47;43.32
ARTIX;-0.57;43.4
ARUDY;-0.43;43.1
ARZACQ-ARRAZIGUET;-0.42;43.53
ASASP-ARROS;-0.61;43.12
ASCAIN;-1.62;43.35
ASSAT;-0.3;43.25
ASSON;-0.25;43.14
AUBERTIN;-0.48;43.27
AUCHAN;-0.33;43.31
AUCHOTEA;-1.27;43.39
AUCUN;-0.19;42.97
AUSSURUCQ;-0.93;43.15
AUTERRIVE;-1;43.47
AUTEVIELLE;-0.97;43.39
AYDIUS;-0.52;43
AZEREIX;-0.01;43.21
BAGNERES-DE-BIGORRE;0.15;43.07
BALEIX;-0.13;43.38
BANCA;-1.37;43.12
BARCUS;-0.77;43.19
BARDOS;-1.2;43.48
BARTHES (SUR L'ADOUR);-1.38;43.5
BARTRES;-0.05;43.12
BARZUN;-0.13;43.22
BASSUSSARY;-1.5;43.45
BAUDREIX;-0.25;43.2
BAYONNE;-1.47;43.5
BAZET;0.07;43.29
BAZILLAC;0.11;43.35
BEDOU;-0.48;43.43
BEDOUS;-0.6;43
BEGUIOS;-1.07;43.35
BEHOBIE;-1.76;43.34
BELAIR;-0.45;43.16
BENAC;0.03;43.15
BENEJACQ;-0.21;43.19
BERENX;-0.85;43.5
BERRENDIA;-1.49;43.43
BERRIZAUN;-1.68;43.23
BERROGAIN-LARUNS;-0.85;43.25
BESCAT;-0.42;43.13
BIARRITZ;-1.56;43.48
BIARROTTE;-1.27;43.56
BIDACHE;-1.13;43.48
BIDARRAY;-1.35;43.27
BIDART;-1.58;43.43
BIELLE;-0.43;43.05
BILHERES;-0.45;43.07
BIRON;-0.73;43.47
BONLOC;-1.27;43.37
BORDERES-SUR-L'ECHEZ;0.04;43.26
BORDES;-0.28;43.23
BOURREAC;0;43.1
BRISCOUS;-1.33;43.47
BRUGES;-0.3;43.13
BUGNEIN;-0.76;43.35
BURGARONNE;-0.91;43.41
BURGIA;-0.78;43.18
BUROS;-0.3;43.35
BUZIET;-0.47;43.13
BUZY;-0.45;43.13
CAMALES;0.08;43.36
CAMBASQUE;-0.14;42.88
CAMBO-LES-BAINS;-1.4;43.36
CAMOU-CIHIGUE;-0.9;43.12
CARDESSE;-0.58;43.27
CARRESSE;-1;43.48
CASENAVE;-0.1;43.2
CASTILLON;-0.58;43.47
CAUTERETS;-0.12;42.88
CAZAUDEHORE (AURIAC);-0.32;43.46
CESCAU;-0.5;43.41
CHALET;-1.07;43.05
CHATEAU D'ABBADIE;-1.75;43.38
CHATEAU D'ARTIGAU;-0.81;43.27
CHERAUTE;-0.87;43.23
CHERCHEBRUIT;-1.55;43.32
CLAVERIE;-0.66;43.3
COL D'AHUSQUY;-1.02;43.09
COL D'AUBISQUE;-0.34;42.98
COL DE BAGARGUI;-1.03;43.04
COL DE LABAYS;-0.73;43
COL DE LIZARIETTA;-1.63;43.26
COL DE LIZUNIAGA;-1.63;43.28
COL DE MARIE-BLANQUE;-0.51;43.07
COL DE SAINT-IGNACE;-1.6;43.32
COL DE SUSCOUSSE;-0.76;43
COL DE SUSTARY;-0.83;43.13
COL D'IBARDIN;-1.69;43.31
COL D'ICHERE;-0.64;43.04
COL D'ISPEGUY;-1.4;43.18
COL D'OSQUICH;-1.02;43.2
COL DU POURTALET;-0.42;42.81
